OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
66313,LOVES TRAVEL STOP #313,"I-55, EXIT 58  & SR-80",Matthews,MO,275,3.27733333
66314,PS FOOD MART #1042,"US-23, EXIT 17",Dundee,MI,325,3.429
66314,PS FOOD MART #1042,"US-23, EXIT 17",Dundee,MI,325,3.499
66314,PS FOOD MART #1042,"US-23, EXIT 17",Dundee,MI,325,3.459
66314,PS FOOD MART #1042,"US-23, EXIT 17",Dundee,MI,325,3.599
66315,SPEEDWAY #6748,"I-94, EXIT 34 & US-421",Michigan City,IN,465,3.68233333
66316,CASEYS #4204,SR-168,Knoxville                               ,TN,405,3.259
66317,LOVES TRAVEL STOP #314,I-24 EXIT 89,Christiana,TN,460,3.46233333
66318,ROAD RANGER #242,"I-44, EXIT 163",Saint Robert,MO,540,3.264
66319,ROAD RANGER #211,I-90 & RIVERSIDE BLVD,Loves Park,IL,520,3.469
66320,SPEEDWAY #8772,"I-69, EXIT 168 & SR-53",Imlay City,MI,342,3.779
66322,LOVES TRAVEL STOP #318,"I-57, EXIT 83 & CR-42",Ina,IL,574,3.489
66322,LOVES TRAVEL STOP #318,"I-57, EXIT 83 & CR-42",Ina,IL,574,3.589
66322,LOVES TRAVEL STOP #318,"I-57, EXIT 83 & CR-42",Ina,IL,574,3.389
66323,PILOT TRAVEL CENTERS #905- TOWN PUMP,"I-90, EXIT 109",Milltown                                ,MT,820,3.609
66328,LOVES TRAVEL STOP #320,"I-16/SR-404, EXIT 49 & SR-257",Dublin,GA,85,3.33233333
66329,CIRCLE K #2723438,"I-85, EXIT 96",Gaffney,SC,210,3.199
66332,PWI #172,"I-45, EXIT 258",Palmer,TX,630,2.77566666
66334,Hucks Travel Center #052,"I-24/I-69, EXIT 40 & US-641/US-62/SR-93",Kuttawa                                 ,KY,490,3.699
66337,ZIP TRIP #60,"I-25, EXIT 299 & US-16/SR-196",Buffalo,WY,836,3.58066666
66338,SHELL,"I-30, EXIT 160 & US-271/SR-49 & US-67",Mount Pleasant                          ,TX,723,3.899
66339,PILOT DEALER #873,US-27,Miami,FL,176,3.699
66339,PILOT TRAVEL CENTERS #873,US-27,Miami,FL,176,3.699
66341,7-ELEVEN #218,"I-44, EXIT 4",Harrold,TX,770,2.68733333
66342,ONE9 #398,"I-75, EXIT 109",Vienna,GA,10,3.109
66346,PILOT TRAVEL CENTERS #247,"I-74, EXIT 39 & SR-32",Crawfordsville,IN,375,3.899
66346,PILOT TRAVEL CENTER #247,"I-74, EXIT 39 & SR-32",Crawfordsville,IN,375,3.899
66348,PIT STOP,I-40 EXIT 221,Wheatley                                ,AR,695,2.999
66349,CIRCLE K #2741796,"I-40, EXIT 5",Little Rock,AR,695,3.36566666
66352,KWIK TRIP #871,"US-41, EXIT 124 & SR-76",Oshkosh,WI,582,3.29066666
66353,MOTOMART #3361,"I-55, EXIT 129",Perryville                              ,MO,540,2.989
66355,CIRCLE K #2723439,"I-26, EXIT 5",Campobello,SC,30,3.13233333
66357,LOVES TRAVEL STOP #351,"I-80 & E 8TH RD, EXIT 81",Utica,IL,290,3.289
66357,LOVES TRAVEL STOP #351,"I-80 & E 8TH RD, EXIT 81",Utica,IL,290,3.449
66357,LOVES TRAVEL STOP #351,"I-80 & E 8TH RD, EXIT 81",Utica,IL,290,3.589
66357,LOVES TRAVEL STOP #351,"I-80 & E 8TH RD, EXIT 81",Utica,IL,290,3.389
66361,SHADY NOOK,US-61/US-49,Lyon,MS,655,3.999
66362,TA FLORENCE TRAVEL CENTER,"I-95, EXIT 164 & US-52",Florence,SC,46,3.32566666
66363,LOVES TRAVEL STOP #178,"US-35/KS TPKE, MM 26",Belle Plaine,KS,570,3.329
66364,SHELL,"I-4, EXIT 64",Plant City,FL,225,3.44733333
66365,LIBERTY,US-202,Ringoes,NJ,230,3.399
66368,PETRO STOPPING CENTER #371,"I-90, EXIT 41",Waterloo,NY,190,4.19566666
66369,LOVES TRAVEL STOP #319,"I-74, EXIT 61",Pittsboro,IN,375,3.889
66370,SPEEDWAY #6979,US-301,Wilson,NC,177,3.129
66371,RAPIDES STATION TRUCK STOP,"I-49, EXIT 94",Boyce                                   ,LA,730,3.099
66372,CEFCO #54,"I-35, EXIT 292",Belton,TX,765,2.95233333
66374,BROOKSHIRE BROS #6111,US-259,Nacogdoches,TX,618,3.369
66376,SUBS AND GRUBS,"I-63, EXIT 39",Jonesboro,AR,435,3.389
66377,QUIKTRIP #873,"I-35W, EXIT 42",Fort Worth,TX,630,2.97566666
66382,STATELINE CONOCO,"I-35, EXIT 114",Eagleville,MO,320,3.549
66383,TENAHA EXPRESS MART,US-96 & US-84,Tenaha,TX,618,3.299
66385,TA EXPRESS MINDEN,"I-20, EXIT 52",Minden,LA,745,3.114
66386,SPEEDWAY #4631,US-220,Bassett,VA,185,3.41566666
66388,Gas n Go,"I-75, EXIT 117 AT MILE 117",Pinehurst,GA,85,3.099
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.84172595
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.84279453
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.85279071
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.8535063
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.84386358
66391,FLYING J CARDLOCK #824,HWY 43 & W MOUNTAIN RD,Whitecourt,AB,80,4.84528971
66392,MISSILE MART #10,"I-40, EXIT 161",El Dorado,AR,635,3.499
66393,VILLAGE PANTRY #5210,"I-74, EXIT 206",Oakwood,IL,280,3.199
66393,VILLAGE PANTRY #5210,"I-74, EXIT 206",Oakwood,IL,280,3.299
66393,VILLAGE PANTRY #5210,"I-74, EXIT 206",Oakwood,IL,280,3.179
66396,CIRCLE K #2723988,"I-55, EXIT 61 & SR-38",Kentwood,LA,600,3.299
66399,CIRCLE K #2723672,"I-59/I-20, EXIT 128",Birmingham,AL,615,3.699
66400,PWI #640,"I-10/US-95, EXIT 5",Ehrenberg,AZ,900,3.359
66404,QUICK FUEL #5302,"I-635, EXIT 14",Garland,TX,637,3.08733333
66405,FLYING J FUEL STOP #668,"I-75, EXIT 151",Saginaw,MI,260,3.289
66405,FLYING J FUEL STOP #668,"I-75, EXIT 151",Saginaw,MI,260,3.399
66405,FLYING J FUEL STOP #668,"I-75, EXIT 151",Saginaw,MI,260,3.599
66405,FLYING J FUEL STOP #668,"I-75, EXIT 151",Saginaw,MI,260,3.489
66406,LOVES TRAVEL STOP #317,"I-95, EXIT 4 & SR-629",Skippers,VA,180,3.801
66406,LOVES TRAVEL STOPS #317,"I-95, EXIT 4 & SR-629",Skippers,VA,180,3.789
66407,CIRCLE K #2723668,SR-35,Fort Payne,AL,615,3.649
66410,SIBLEY FOOD FUEL,US-72/SR-20 & CR-150,Courtland                               ,AL,615,3.399
66416,DUCK THRU FOOD STORE #18,US-13,Winton,NC,130,3.56233333
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.74116815
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.74186729
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.7314019
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.7303579
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.73383969
66418,FLYING J CARDLOCK #818,HWY 16,Edson,AB,80,4.73244636
66420,PILOT TRAVEL CENTER #911,I-90 EXIT 47,Superior,MT,820,3.559
66422,PLAQUEMINE TRUCK STOP,ST 1                          ,Plaquemine                              ,LA,600,3.999
66424,CIRCLE K #2741652,"I-10, EXIT 139",Phoenix,AZ,930,3.369
66425,CLARK OIL #31,"I-10, EXIT 44",Biloxi                                  ,MS,620,2.849
66428,SHELL,US-167,Hensley,AR,695,3.589
66437,PILOT #4596,"I-81, EXIT 4",White Pine,TN,405,3.699
66439,JACK FLASH,I-55,Farmersville                            ,IL,574,3.259
66439,JACK FLASH,I-55,Farmersville                            ,IL,574,3.199
66440,BP CONNECT #4701,I-55,Chicago,IL,290,3.569
66447,CIRCLE K #4701207,"U-55, EXIT 220",Dwight,IL,399,3.349
66448,HAMMOND TRAVEL CENTER,"I-55, EXIT 31B & US-190/SR-3260",Hammond,LA,600,3.099
66449,CITGO,"I-55, EXIT 67",Blytheville                             ,AR,435,3.389
66451,EZ MART #304,M-57,Middleton                               ,MI,406,3.699
66454,Fast Stop Shell,I-10,Reserve,LA,600,3.799
66456,TEXACO #383124,SR-70,Saint James,LA,623,2.969
66460,CASH MAGIC BROUSSARD NORTH,"I-49, EXIT 103",Broussard,LA,600,3.399
66461,YESWAY #1167,US-62 & CR-41/CR-168,Ropesville,TX,700,3.04066666
66465,Knapp Truck Stop,"I-64, EXIT 50 & SR-127",Nashville                               ,IL,574,3.299
66470,CIRCLE K #9068,"I-65, EXIT 181",Millbrook,AL,720,3.21566666
66472,DIAMOND #21,"I-65, EXIT 54",Atmore,AL,715,3.259
66474,FAMCO EXPRESS,"I-690, EXIT 8",Syracuse,NY,235,3.299
66475,SPEEDWAY #4346,SR-7,Calexico,CA,900,4.799
66478,LOVES TRAVEL STOP #175,"I-70, EXIT 187",Tecumseh,KS,553,3.289
66480,LOVES TRAVEL STOP #360,"I-65, EXIT 58 & SR-218 & SR-335",Horse Cave,KY,415,3.429
66487,COMPASS,"I-55, EXIT 282",La Grange                               ,IL,290,3.549
66487,COMPASS,"I-55, EXIT 282",La Grange                               ,IL,290,3.749
66488,HUCKS FOOD & FUEL #54,I-74,Farmer City                             ,IL,280,3.339
66488,HUCKS FOOD & FUEL #54,I-74,Farmer City                             ,IL,280,3.269
66495,SUPER SAVER EXPRESS,"I-10, EXIT 21",Sulphur                                 ,LA,690,2.999
66496,EXXON FUEL EXPRESS,"I-10/SR-8, EXIT 31 & SR-87",Milton,FL,155,3.999
66502,SHOP RITE #82,"I-10, EXIT 64",Jennings                                ,LA,690,3.589
66504,COUNTRY BOYS COUNTRY STORE,"I-10, EXIT 813",Hankamer,TX,610,2.86566666
66507,ST IGNACE TRUCKSTOP,I-75,Saint Ignace                            ,MI,287,3.799
66508,SAMS SUNOCO,I-75                          ,Toledo                                  ,OH,550,3.399
66509,FOUR STAR FOOD MART,"I-75, EXIT 122",Lima,OH,411,3.144
66512,MARATHON #1554,"I-75, EXIT 21",Newport                                 ,MI,325,3.299
66512,MARATHON #1554,"I-75, EXIT 21",Newport                                 ,MI,325,3.399
66513,SUNRISE STORE,"I-75, EXIT 212",West Branch                             ,MI,260,3.399
66513,SUNRISE STORE,"I-75, EXIT 212",West Branch                             ,MI,260,3.199
66514,BIGFOOT TRAVEL CENTER,"I-75, EXIT 29",Hahira,GA,10,3.099
66516,ADEL TRUCK PLAZA,"I-75, EXIT 39",Adel,GA,10,2.999
66517,ADMIRAL PETROLEUM #5796,"I-75, EXIT 392",Sault Sainte Marie,MI,287,3.799
66518,Racetrac #2622,"I-75, EXIT 60",Valdosta,GA,75,3.03233333
66523,LOVES TRAVEL STOP #325,"I-75, EXIT 59 & SOUTHWELL BLVD",Tifton,GA,10,3.609
66525,BP,"I-76, EXIT 6",Luna Pier                               ,MI,550,3.399
66525,BP,"I-76, EXIT 6",Luna Pier                               ,MI,550,3.499
66527,TA EXPRESS #648,"I-76, EXIT 90A",Brush,CO,800,4.099
66528,GO MART FOOD STORE #99,US-50 & SR-14,Parkersburg,WV,430,3.489
66529,7-ELEVEN #36076,"I-77, EXIT 73 & US-421",Hamptonville,NC,65,2.899
66531,MIDWAY EXXON TRAVEL CENTER,"I-78, EXIT 16",Bethel                                  ,PA,70,3.359
66532,PETRO PLAZA,"I-78, EXIT 17",Hampton,NJ,115,3.26566666
66534,LOVES TRAVEL STOP #347,"I-70, EXIT 101 & SR-5",Boonville,MO,310,3.509
66537,BECKS EXPRESS MART #26,"I-80, EXIT 19",Geneseo,IL,270,3.269
66538,KUM & GO #0023,"I-80, EXIT 23",Neola,IA,486,3.15733333
66539,SOUTH RIDGE FARM MARKET,"I-80, EXIT 6",Clyde                                   ,OH,550,3.399
66547,OLD STONE JIFFY MART,"I-81, EXIT 321",Clear Brook,VA,60,3.599
66548,YESWAY #1156,US-84 & SR-289,Lubbock,TX,700,2.95066666
66550,CIRCLE K #2709663,"I-82, EXIT 730",Umatilla,OR,982,3.639
66552,GEM STOP,I-84,Marsing,ID,785,3.58566666
66553,JACKSONS FOOD STORE #83,"I-84, EXIT 304",Baker City,OR,982,3.599
66556,PILOT TRAVEL CENTER #899- SLIP IN,I-85,South Hill,VA,180,3.959
66560,Sunoco,"I-85, EXIT 11",Townville,SC,30,3.199
66562,TA EXPRESS FAIR PLAY,"I-85, EXIT 4",Fair Play,SC,16,3.209
66564,SPEEDWAY #6954,US-70,High Point,NC,65,3.049
66565,KWIK FILL #395,"I-86, EXIT 12",Jamestown,NY,240,4.499
66565,KWIK FILL #395,"I-86, EXIT 12",Jamestown,NY,240,4.469
66571,LEXINGTON GULF,"I-128, NORTH MASS PIKE",Lexington                               ,MA,34,4.299
66573,Brake Time Corner Market,"I-135, EXIT 14",Wichita,KS,570,3.299
66579,GULF OIL LP #5010,"I-90, EXIT 2",Lee,MA,215,3.914
66582,PWI #807,"I-15, EXIT 163 & SR-99",Fillmore,UT,835,3.374
66584,MOAPA PAIUTE TRAVEL CENTER,"I-15, EXIT 75",Moapa,NV,910,3.33233333
66586,CIRCLE K #4707609,US-20 & SR-12,Sangerfield,NY,235,4.099
66588,CUBBYS #402,"I-90, EXIT 330",Mitchell                                ,SD,530,3.149
66594,FRIENDLY GUS STORE #23,I-16/SR-19,Dublin,GA,85,3.399
66595,GULF OIL LP #5040,"I-90, EXIT 9",Charlton,MA,34,3.909
66597,BP,"I-16, EXIT 90 & US-1",Twin City                               ,GA,195,3.78233333
66598,WOODSHED LL,I-166 & I-169,S Coffeyville,OK,307,3.099
66601,LOVES TRAVEL STOP #323,"I-69, EXIT 264 & SR-18",Marion,IN,457,3.57566666
66603,COFFEE CUP FUEL STOP #7,"I-90, EXIT 406 & SR-11",Brandon,SD,530,2.97733333
66604,GALLOPS,"I-90, I-80, EXIT 40",La Porte,IN,370,3.549
66606,BART INDUSTRIES,"I-91, EXIT 6",Bellows Falls                           ,VT,215,3.709
66607,7-ELEVEN #37392,"I-93, EXIT 5",Londonderry,NH,34,3.799
66608,CASEYS #2650,I-94/US-52 EXIT 135 & CR-173,Melrose,MN,522,3.179
66612,STOP N GO #1709,"I-94, EXIT 105",Hixton                                  ,WI,295,3.23733333
66613,LOVES TRAVEL STOP #362,"I-10, EXIT 7 & SR-3063",Vinton,LA,690,3.30566666
66614,MARATHON,"I-94, EXIT 212A",Detroit,MI,325,3.899
66614,MARATHON,"I-94, EXIT 212A",Detroit,MI,325,3.699
66615,KWIK TRIP #396,"I-94, EXIT 295",Waukesha,WI,444,3.399
66618,CIRCLE K #2723378,I-95,Sumter,SC,42,3.159
66620,Shell,"I-95, EXIT 130",Ashland,VA,180,3.264
66622,DUNCAN TRUCK STOP,"I-95, EXIT 15",Jersey City                             ,NJ,115,3.409
66624,Sunoco,"I-95, EXIT 25",Croydon                                 ,PA,160,3.659
66625,EXIT 43 QUICK STOP,"I-95, EXIT 43",Richmond,ME,170,3.76566666
66628,Chevron,"I-95, EXIT 5 & US-17",Hardeeville,SC,42,3.00733333
66631,SPEEDWAY #3589,I-96,Lake Odessa,MI,342,3.599
66632,SHELL FOOD MART AND TRUCKSTOP,I-985,Gainesville,GA,16,3.399
66635,C  BARN,US-67,Park Hills,MO,540,3.049
66637,BERKLYS TRAVEL CENTER,US-281,Round Mountain,TX,595,3.31566666
66640,Kent Kwik #928,US-82/SR-6 & SR-5/SR-25,Brent,AL,615,3.099
66643,DEERFIELD TRAVEL CENTER,"I-55, EXIT 8",Steele,MO,275,2.97566666
66645,ALLSUPS #2390,"I-20/US-84, EXIT 270",Merkel,TX,575,2.87566666
66648,CHEVRON,"I-20, EXIT 113",Bessemer,AL,615,3.099
66649,CHOCTAW TRAVEL PLAZA #637,US-59 & CR-E1452,Heavener,OK,645,3.299
66659,MARATHON,SR-37,Mitchell                                ,IN,415,3.599
66664,CASEYS #3294,"I-380/SR-27, EXIT 43 & SR-150",Urbana,IA,380,3.449
66667,CIRCLE K #4701408,"I-36, EXIT 99",Rochelle,IL,520,3.499
66668,ACME TRUCK STOP,"I-4, EXIT 96",Orlando                                 ,FL,140,3.399
66669,CIRCLE K #2726032,I-40,Jacksonville,FL,75,3.429
66670,SPEEDWAY #7930,"I-40, 1126 N MAIN ST",Lillington,NC,63,3.759
66671,CIRCLE K #2723686,US-72,Scottsboro,AL,285,3.26566666
66673,MARATHON,SR-72,Huntsville,AL,615,2.979
66676,HUTCH'S #118,"I-40, EXIT 108",Watonga,OK,483,3.099
66678,NKS ROYAL TRUCKSTOP,"I-40, EXIT 16",Gallup,NM,580,3.119
66680,BIG TOP TRAVEL CENTER,"I-20, EXIT 157",Delhi                                   ,LA,760,2.969
66683,SUPERSTOP Shell,"I-40, EXIT 192",Stuttgart                               ,AR,695,3.41566666
66689,ROSCOE TRAVEL PLAZA,"I-20, EXIT 235",Roscoe,TX,575,2.759
66693,Allsup Marketplace #2400,"I-40, EXIT 356",San Jon,NM,585,3.059
66705,7-ELEVEN,"I-44, EXIT 1/US-287",Wichita Falls,TX,770,2.76066666
66709,CIRCLE K #2709343,"I-24, EXIT 169",Wildwood,GA,285,3.14566666
66715,7-Eleven #34210,"I-25/US-87, EXIT 240 & SR-119",Longmont,CO,800,3.189
66717,Fast Stop Travel Centers #1131,"I-25/US-87, EXIT 80",Wheatland,WY,795,3.499
66718,Bartonville SHELL,"I-474, EXIT 6",Peoria,IL,368,4.299
66720,MOUNTAIN ENERGY #126,"I-26, EXIT 13",Hendersonville,NC,210,2.84566666
66721,USA SPEEDTRAC,"I-49US-167, EXIT 11",Grand Coteau,LA,730,3.399
66725,SPEEDWAY #9662,I-264,Louisville,KY,415,3.029
66728,CIRCLE K #2723706,"I-81/US-52, EXIT 72 & I-77, EXIT 41",Wytheville,VA,185,3.349
66734,Marathon,"I-675, Exit 7",Ellenwood,GA,18,3.009
66737,THE JUNCTION,US-59 & US-73,Atchison,KS,400,3.279
66738,TREX MART #9,I-29,Dearborn                                ,MO,400,2.999
66739,ZIP TRIP #64,I-29,Brookings                               ,SD,530,3.399
66741,DEANS LANE VALERO,I-295,Monmouth Junction,NJ,230,3.14566666
66742,DEEP WATER TRUCK STOP,"I-295, EXIT 2C",Penns Grove,NJ,230,3.279
66746,CASEYS #4246,"I-30, EXIT 123",Bryant,AR,695,3.03233333
66747,LOVES TRAVEL STOP #322,"I-90, EXIT 3",Roscoe,IL,290,3.789
66749,BIG RIVER #18,"I-310 EXIT 2, & US-61",Saint Rose,LA,725,3.099
66750,LOVES TRAVEL STOP #177,I-35,El Dorado,KS,336,3.25566666
66751,FAST N FRIENDLY,"I-35, EXIT 132",Emporia                                 ,KS,336,3.65733333
66756,CASEYS #2550,"I-35, EXIT 33 & US-34",Osceola,IA,320,3.339
66760,LOVES TRAVEL STOP #326,I-26 EXIT 154A,Orangeburg,SC,135,3.389
66761,SPEEDWAY #4589,US-501 & SR-90,Conway,SC,205,3.064
66762,EXXON TIGER MART #44,"US-45,  EXIT 249",Ennis,TX,637,3.099
66763,SPEEDWAY #7998,US-52 & US-74,Wadesboro,NC,46,3.64566666
66765,STRIPES #40736,US-77/US-83,Olmito,TX,598,2.999
66767,SPRINT MART #49,"I-22/US-78, EXIT 87 & SR-811",Tupelo,MS,742,2.99233333
66769,PETRO STOPPING CENTER #344,"I-95, EXIT 3",Kingsland,GA,75,3.649
66771,FLYING J TRAVEL PLAZA #727,"I-69C/US-281, EXIT 8 & FM-1925",Edinburg,TX,639,3.084
66773,STRIPES 7FLEET #42475,US-62,Hobbs,NM,700,3.459
66774,Clark #4667,"I-80/I-90, EXIT 39 & SR-109",Delta,OH,550,3.699
66775,GO MART,US-33 & CR-116,Rockbridge,OH,315,3.499
66776,S&G #77,US-224 & US-23,Alvada,OH,411,3.259
66778,LOVES TRAVEL STOP #169,"I-44, EXIT 179 & US-377/SR-99",Stroud                                  ,OK,560,3.144
66780,DIAMOND #20,"I-65, EXIT 93 & SR-84",Evergreen,AL,720,3.399
66784,Texaco #384529,US-80/SR-8 & SR-14,Selma,AL,720,3.299
66785,WINFIELD TRUCK STOP,SR-129,Winfield,AL,615,3.659
66786,Circle K #2741791,"I-40, EXIT 175 & SR-31",Lonoke,AR,695,3.139
66787,TEXACO,"I-59, EXIT 67B",Hattiesburg                             ,MS,620,3.06566666
66788,CIRCLE K #4703626,"I-75, EXIT 60 & SR-68",Sweetwater,TN,285,3.289
66793,CIRCLE K #2723693,"I-526, EXIT 19 & SR-10-60",Charleston,SC,42,2.97566666
66795,FUEL MART #645,"I-90, EXIT 353",Spencer                                 ,SD,530,3.499
66796,ROYAL FARMS #109,US-13 & SR-404,Bridgeville,DE,243,3.259
66799,ONE9 #1403,"I-75/SR-93, EXIT 451 & US-129",Jasper,FL,10,3.259
66799,SHELL DBA ONE9 #1403,"I-75/SR-93, EXIT 451 & US-129",Jasper,FL,10,3.244
66800,CIRCLE K #2743950,I-35,San Antonio,TX,740,2.804
66801,SUNSTOP #330,"I-75, EXIT 460 & SR-6",Jennings,FL,75,3.299
66802,MOBIL,US-27 & SR-66,Sebring                                 ,FL,140,3.459
66803,Stripes,FM-2061 & FM-3072,Pharr,TX,639,3.16566666
66804,PWI #586,"I-80, EXIT 104  & US-191",Rock Springs,WY,835,3.199
66805,CIRCLE K #2723553,US-27,Ringgold,GA,285,3.07566666
66807,QUICK FUEL #5303,"I-35E, EXIT 436A",Dallas,TX,637,3.04566666
66809,CASEYS #3449,SR-78,Wapello,IA,380,3.349
66810,QUICK FUEL #3145,SR-83,Bensenville,IL,290,3.509
66810,QUICK FUEL #3145,SR-83,Bensenville,IL,290,3.449
66810,QUICK FUEL #3145,SR-83,Bensenville,IL,290,3.539
66812,FAMILY EXPRESS #47 (DISCOUNT AVAILABLE),"I-65, EXIT 201 & US-24/US-231",Remington,IN,375,3.55233333
66813,MCCLURE OIL #59,I-69 EXIT 259,Gas City                                ,IN,457,3.639
66815,MAXS #132,US-641 N,Murray,KY,490,3.399
66816,CIRCLE K #4707082,"I-95, EXIT 132 & SR-139",Fairfield,ME,170,3.899
66817,JOLLY TRUCK STOP,US-82/US-287,Wichita Falls,TX,770,2.899
66819,ROAD RANGER #265,"I-88, EXIT 54",Dixon,IL,520,3.499
66819,ROAD RANGER #265,"I-88, EXIT 54",Dixon,IL,520,3.479
66820,CM BREAUX BRIDGE,"I-10, EXIT 109",Breaux Bridge,LA,600,3.299
66821,DENTON GOOSE CREEK,SR-404/SR-619,Denton                                  ,MD,194,3.259
66822,WILD BILL'S,I-78,Sherman                                 ,MS,435,2.919
66824,STRIPES #42435,US-87/US-277,San Angelo,TX,740,2.799
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.17697241
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.17963978
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.1758301
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.17811523
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.18765839
66827,FLYING J #860,"QEW, EXIT 5",Fort Erie,ON,430,5.18842336
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.39469036
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.40169746
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.39543974
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.40219907
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.39394131
66829,KINGSTON CARDLOCK,"HWY 401, EXIT 611",Kingston                                ,ON,410,3.45216443
66831,PETRO-CANADA,HWY 17/ 69,Sudbury                                 ,ON,460,3.48592833
66831,PETRO-CANADA,HWY 17/ 69,Sudbury                                 ,ON,460,3.47900265
66831,PETRO-CANADA,HWY 17/ 69,Sudbury                                 ,ON,460,3.47746734
66831,PETRO-CANADA,HWY 17/ 69,Sudbury                                 ,ON,460,3.48541438
66833,STRIPES #5148,US-281,Pharr,TX,639,3.399
